ticker_yf,ticker_display,name,market,sector,price,currency,market_cap,ocf,revenue_growth,earnings_growth,ttm_ocf,ttm_net_income,ttm_depreciation,pcf,cf_method,revenue_trend,cf_trend,pcf_display,market_cap_b,pcf_color
MO,MO,Altria,USA,Consumer Defensive,65.69999694824219,USD,109702170842.54593,9290000000.0,0.012,-0.027,9290000000.0,7952000000,134000000.0,11.808629800058766,OCF,Flat ➡,Flat ➡,11.8x,109.70217084254593,11.808629800058766
AMZN,AMZN,Amazon,USA,Consumer Cyclical,262.6499938964844,USD,2833025193851.3667,139514000000.0,0.196,2.423,139514000000.0,135281000448,65756000000.0,20.306386411767757,OCF,Uptrend ↗,Uptrend ↗,20.3x,2833.0251938513666,20.306386411767757
AMCR,AMCR,Amcor,USA,Consumer Cyclical,46.029998779296875,USD,21281771546.31317,1390000000.0,0.259,0.0,1390000000.0,1106000000,722000000.0,15.310627011736095,OCF,Uptrend ↗,Flat ➡,15.3x,21.28177154631317,15.310627011736095
AEE,AEE,Ameren,USA,Utilities,109.73999786376953,USD,30380777773.339012,3353000000.0,-0.062,0.119,3353000000.0,1563000064,1668000000.0,9.06077476091232,OCF,Downtrend ↘,Uptrend ↗,9.1x,30.380777773339013,9.06077476091232
AEP,AEP,American Electric Power,USA,Utilities,125.5999984741211,USD,68376306580.515564,6944000000.0,0.07,-0.432,6944000000.0,3140999936,3489000000.0,9.846818343968256,OCF,Uptrend ↗,Downtrend ↘,9.8x,68.37630658051556,9.846818343968256
AXP,AXP,American Express,USA,Financial Services,342.4800109863281,USD,231280119025.0154,18428000000.0,0.128,0.11,18428000000.0,11310999552,1777000000.0,12.550473140059443,OCF,Uptrend ↗,Uptrend ↗,12.6x,231.2801190250154,12.550473140059443
AIG,AIG,American International Group,USA,Financial Services,76.63999938964844,USD,40074532153.01134,3314000000.0,0.005,-0.101,3314000000.0,2964999936,3455000000.0,12.092496123419233,OCF,Flat ➡,Downtrend ↘,12.1x,40.07453215301134,12.092496123419233
AMT,AMT,American Tower,USA,Real Estate,175.5800018310547,USD,81813266081.03833,5464000000.0,0.047,1.385,5464000000.0,3400999936,2041600000.0,15.032019079683892,OCF,Flat ➡,Uptrend ↗,15.0x,81.81326608103834,15.032019079683892
AWK,AWK,American Water Works,USA,Utilities,136.1999969482422,USD,27066887695.327255,2059000000.0,0.062,0.086,2059000000.0,1128000000,894000000.0,13.145647253680066,OCF,Uptrend ↗,Uptrend ↗,13.1x,27.066887695327257,13.145647253680066
AMP,AMP,Ameriprise Financial,USA,Financial Services,569.5399780273438,USD,50309299608.34454,8323000000.0,0.116,0.117,8323000000.0,3948000000,-93000000.0,6.044611270977357,OCF,Uptrend ↗,Uptrend ↗,6.0x,50.309299608344546,6.044611270977357
AME,AME,Ametek,USA,Industrials,254.7899932861328,USD,58413470819.53046,1801763000.0,0.15,0.142,1801763000.0,1576269952,145536000.0,32.42017447329668,OCF,Uptrend ↗,Uptrend ↗,32.4x,58.41347081953046,32.42017447329668
AMGN,AMGN,Amgen,USA,Healthcare,415.2099914550781,USD,224092267835.77496,9958000000.0,0.095,0.649,9958000000.0,8743000064,5167000000.0,22.503742502086258,OCF,Uptrend ↗,Uptrend ↗,22.5x,224.09226783577498,22.503742502086258
APH,APH,Amphenol,USA,Technology,167.11000061035156,USD,206043866251.82336,5374700000.0,0.55,0.593,5374700000.0,5143399936,922400000.0,38.3358822356268,OCF,Uptrend ↗,Uptrend ↗,38.3x,206.04386625182337,38.3358822356268
ADI,ADI,Analog Devices,USA,Technology,389.3900146484375,USD,189666829640.66406,4812202000.0,0.372,1.105,4812202000.0,3313432064,406801000.0,39.41372985603349,OCF,Uptrend ↗,Uptrend ↗,39.4x,189.66682964066408,39.41372985603349
AON,AON,Aon plc,USA,Financial Services,355.8299865722656,USD,75480590331.85602,3481000000.0,0.022,-0.03,3481000000.0,3913999872,188000000.0,21.683593890220056,OCF,Flat ➡,Flat ➡,21.7x,75.48059033185602,21.683593890220056
APA,APA,APA Corporation,USA,Energy,40.470001220703125,USD,14178726037.375183,4545000000.0,0.092,0.263,4545000000.0,1676999936,,3.1196316913916795,OCF,Uptrend ↗,Uptrend ↗,3.1x,14.178726037375183,3.1196316913916795
APO,APO,Apollo Global Management,USA,Financial Services,140.75999450683594,USD,83124851816.88954,7246000000.0,0.638,0.637,7246000000.0,1888000000,1431000000.0,11.471826085687212,OCF,Uptrend ↗,Uptrend ↗,11.5x,83.12485181688955,11.471826085687212
AAPL,AAPL,Apple Inc.,USA,Technology,305.92999267578125,USD,4464797380509.033,111482000000.0,0.164,0.287,111482000000.0,128929996800,11698000000.0,40.049491222879325,OCF,Uptrend ↗,Uptrend ↗,40.0x,4464.797380509033,40.049491222879325
AMAT,AMAT,Applied Materials,USA,Technology,507.17999267578125,USD,402680337892.26746,7958000000.0,0.248,0.428,7958000000.0,9267000320,,50.6006958899557,OCF,Uptrend ↗,Uptrend ↗,50.6x,402.68033789226746,50.6006958899557
APP,APP,AppLovin,USA,Communication Services,315.44000244140625,USD,105968763324.40485,3971094000.0,0.528,0.57,3971094000.0,4409847808,194778000.0,26.685030201854914,OCF,Uptrend ↗,Uptrend ↗,26.7x,105.96876332440485,26.685030201854914
APTV,APTV,Aptiv,USA,Consumer Cyclical,49.560001373291016,USD,10290308169.500988,2185000000.0,0.023,-0.353,2185000000.0,470000000,783000000.0,4.70952318970297,OCF,Flat ➡,Downtrend ↘,4.7x,10.290308169500989,4.70952318970297
ACGL,ACGL,Arch Capital Group,USA,Financial Services,98.70999908447266,USD,33682726715.055405,6172000000.0,-0.105,-0.071,6172000000.0,4652000256,193000000.0,5.457343926612995,OCF,Downtrend ↘,Downtrend ↘,5.5x,33.6827267150554,5.457343926612995
ADM,ADM,Archer Daniels Midland,USA,Consumer Defensive,80.44999694824219,USD,38773401126.3354,5452000000.0,0.072,3.156,5452000000.0,1770000000,932000000.0,7.111775701822341,OCF,Uptrend ↗,Uptrend ↗,7.1x,38.7734011263354,7.111775701822341
ARES,ARES,Ares Management,USA,Financial Services,144.02000427246094,USD,32479151138.158264,3266959000.0,0.058,0.065,3266959000.0,572572992,243149000.0,9.941707605806581,OCF,Uptrend ↗,Uptrend ↗,9.9x,32.479151138158265,9.941707605806581
ANET,ANET,Arista Networks,USA,Technology,198.82000732421875,USD,250756693752.8452,4371900000.0,0.377,0.357,4371900000.0,4044600064,,57.35645686151221,OCF,Uptrend ↗,Uptrend ↗,57.4x,250.75669375284522,57.35645686151221
AJG,AJG,Arthur J. Gallagher & Co.,USA,Financial Services,251.2100067138672,USD,64395424331.03943,1930000000.0,0.309,-0.107,1930000000.0,1568000000,206000000.0,33.365504834735454,OCF,Uptrend ↗,Downtrend ↘,33.4x,64.39542433103942,33.365504834735454
AIZ,AIZ,Assurant,USA,Financial Services,282.3800048828125,USD,13928045566.298706,1833900000.0,0.094,0.305,1833900000.0,1054700032,,7.59476828960069,OCF,Uptrend ↗,Uptrend ↗,7.6x,13.928045566298707,7.59476828960069
T,T,AT&T,USA,Communication Services,24.889999389648438,USD,170555874646.1357,40284000000.0,0.023,0.062,40284000000.0,21479999488,,4.233836626108026,OCF,Flat ➡,Uptrend ↗,4.2x,170.55587464613572,4.233836626108026
ATO,ATO,Atmos Energy,USA,Utilities,169.9199981689453,USD,28714534616.332718,2049456000.0,0.048,0.233,2049456000.0,1402008064,734745000.0,14.01080804678545,OCF,Flat ➡,Uptrend ↗,14.0x,28.714534616332717,14.01080804678545
ADSK,ADSK,Autodesk,USA,Technology,251.66000366210938,USD,53136814639.897,2452000000.0,0.184,2.314,2452000000.0,1463000064,195000000.0,21.67080531806566,OCF,Uptrend ↗,Uptrend ↗,21.7x,53.136814639897004,21.67080531806566
ADP,ADP,Automatic Data Processing,USA,Technology,272.9599914550781,USD,108436833296.94095,5441200000.0,0.068,0.098,5441200000.0,4413499904,201100000.0,19.928845346052515,OCF,Uptrend ↗,Uptrend ↗,19.9x,108.43683329694095,19.928845346052515
AZO,AZO,AutoZone,USA,Consumer Cyclical,3025.0,USD,49384198875.0,3117337000.0,0.084,0.077,3117337000.0,2478124032,613199000.0,15.841790244365624,OCF,Uptrend ↗,Uptrend ↗,15.8x,49.384198875,15.841790244365624
AVB,AVB,AvalonBay Communities,USA,Real Estate,184.05999755859375,USD,26283392721.15216,1671105000.0,0.023,-0.413,1671105000.0,1025473024,913376000.0,13.556183279772567,OCF,Flat ➡,Downtrend ↘,13.6x,26.28339272115216,13.556183279772567
AVY,AVY,Avery Dennison,USA,Consumer Cyclical,178.92999267578125,USD,13560771692.97107,881400000.0,0.109,0.108,881400000.0,704899968,206400000.0,15.385490915556012,OCF,Uptrend ↗,Uptrend ↗,15.4x,13.56077169297107,15.385490915556012
AXON,AXON,Axon Enterprise,USA,Industrials,612.8300170898438,USD,49784726422.78473,211339000.0,0.353,-0.182,211339000.0,199298000,83161000.0,235.56809875500844,OCF,Uptrend ↗,Downtrend ↘,235.6x,49.78472642278473,235.56809875500844
BKR,BKR,Baker Hughes,USA,Energy,64.81999969482422,USD,64345132979.279915,3810000000.0,-0.024,-0.042,3810000000.0,3096000000,938000000.0,16.888486346267694,OCF,Flat ➡,Flat ➡,16.9x,64.34513297927991,16.888486346267694
BALL,BALL,Ball Corporation,USA,Consumer Cyclical,61.81999969482422,USD,16363961448.958946,1262000000.0,0.197,0.092,1262000000.0,945000000,,12.96668894529235,OCF,Uptrend ↗,Uptrend ↗,13.0x,16.363961448958946,12.96668894529235
BAC,BAC,Bank of America,USA,Financial Services,64.48999786376953,USD,450962327120.7279,12613000000.0,0.168,0.341,12613000000.0,32124999680,2314000000.0,35.75377207014413,OCF,Uptrend ↗,Uptrend ↗,35.8x,450.9623271207279,35.75377207014413
BAX,BAX,Baxter International,USA,Healthcare,26.729999542236328,USD,13819302816.608013,845000000.0,0.053,0.368,845000000.0,-968000000,383000000.0,16.354204516695873,OCF,Uptrend ↗,Uptrend ↗,16.4x,13.819302816608014,16.354204516695873
BDX,BDX,Becton Dickinson,USA,Healthcare,183.39999389648438,USD,49955737457.48291,3431000000.0,0.054,-0.314,3431000000.0,1648000000,2462000000.0,14.56011001383938,OCF,Uptrend ↗,Downtrend ↘,14.6x,49.95573745748291,14.56011001383938
BRK-B,BRK-B,Berkshire Hathaway,USA,Financial Services,504.0299987792969,USD,1078981954856.6489,45969000000.0,0.1,1.078,45969000000.0,85768003584,,23.471947504984858,OCF,Uptrend ↗,Uptrend ↗,23.5x,1078.9819548566488,23.471947504984858
BBY,BBY,Best Buy,USA,Consumer Cyclical,86.41999816894531,USD,18214494642.993866,1962000000.0,0.019,0.379,1962000000.0,1143000064,,9.283636413350594,OCF,Flat ➡,Uptrend ↗,9.3x,18.214494642993866,9.283636413350594
TECH,TECH,Bio-Techne,USA,Healthcare,72.4000015258789,USD,11280691442.548187,287556000.0,0.013,0.0,287556000.0,181862000,109903000.0,39.22954639287021,OCF,Flat ➡,Flat ➡,39.2x,11.280691442548187,39.22954639287021
BIIB,BIIB,Biogen,USA,Healthcare,209.8300018310547,USD,31003221670.88565,2204600000.0,0.034,-0.848,2204600000.0,834600000,272800000.0,14.062969096836456,OCF,Flat ➡,Downtrend ↘,14.1x,31.00322167088565,14.062969096836456
BLK,BLK,BlackRock,USA,Financial Services,1173.72998046875,USD,181774692341.2798,3927000000.0,0.306,0.196,3927000000.0,6576000000,1126000000.0,46.288437061695895,OCF,Uptrend ↗,Uptrend ↗,46.3x,181.77469234127977,46.288437061695895
BX,BX,Blackstone Inc.,USA,Financial Services,143.92999267578125,USD,108037467160.27747,4663161000.0,0.286,0.573,4663161000.0,3519035904,0.0,23.168290170611193,OCF,Uptrend ↗,Uptrend ↗,23.2x,108.03746716027747,23.168290170611193
XYZ,XYZ,"Block, Inc.",USA,Technology,82.87999725341797,USD,49793887949.86725,2579714000.0,0.093,-0.833,2579714000.0,357142016,369529000.0,19.302096259456377,OCF,Uptrend ↗,Downtrend ↘,19.3x,49.79388794986725,19.302096259456377
BNY,BNY,BNY Mellon,USA,Financial Services,163.24000549316406,USD,110759019867.21457,6730000000.0,0.131,0.269,6730000000.0,6024000000,1852000000.0,16.457506666748078,OCF,Uptrend ↗,Uptrend ↗,16.5x,110.75901986721458,16.457506666748078
BA,BA,Boeing,USA,Industrials,231.6699981689453,USD,183105021086.18927,1065000000.0,0.08,0.0,1065000000.0,2088999936,1953000000.0,171.92959726402748,OCF,Uptrend ↗,Flat ➡,171.9x,183.10502108618928,171.92959726402748
BKNG,BKNG,Booking Holdings,USA,Consumer Cyclical,212.05999755859375,USD,164320719246.36694,9409000000.0,0.081,1.3,9409000000.0,7208999936,564000000.0,17.46420653059485,OCF,Uptrend ↗,Uptrend ↗,17.5x,164.32071924636693,17.46420653059485
BSX,BSX,Boston Scientific,USA,Healthcare,51.83000183105469,USD,75113568986.19852,4534000000.0,0.075,0.151,4534000000.0,3673999872,471000000.0,16.566733344993057,OCF,Uptrend ↗,Uptrend ↗,16.6x,75.11356898619852,16.566733344993057
BMY,BMY,Bristol Myers Squibb,USA,Healthcare,63.83000183105469,USD,130386480232.80225,14156000000.0,0.057,1.531,14156000000.0,9281999872,4011000000.0,9.210686651088036,OCF,Uptrend ↗,Uptrend ↗,9.2x,130.38648023280226,9.210686651088036
AVGO,AVGO,Broadcom,USA,Technology,392.989990234375,USD,1869681395551.276,27537000000.0,0.479,0.854,27537000000.0,29316999168,574000000.0,67.89706197302814,OCF,Uptrend ↗,Uptrend ↗,67.9x,1869.681395551276,67.89706197302814
BR,BR,Broadridge Financial Solutions,USA,Technology,171.00999450683594,USD,19778724734.64,1345600000.0,0.075,0.084,1345600000.0,1124300032,137700000.0,14.698814457966705,OCF,Uptrend ↗,Uptrend ↗,14.7x,19.77872473464,14.698814457966705
BRO,BRO,Brown & Brown,USA,Financial Services,70.54000091552734,USD,23603414889.12493,1450000000.0,0.324,0.071,1450000000.0,1191000064,55000000.0,16.278217164913745,OCF,Uptrend ↗,Uptrend ↗,16.3x,23.60341488912493,16.278217164913745
BF-B,BF-B,Brown–Forman,USA,Consumer Defensive,28.420000076293945,USD,13040922446.308565,1000000000.0,0.02,-0.627,1000000000.0,715000000,92000000.0,13.040922446308565,OCF,Flat ➡,Downtrend ↘,13.0x,13.040922446308565,13.040922446308565
BLDR,BLDR,Builders FirstSource,USA,Industrials,72.51000213623047,USD,7801819326.92083,1215886000.0,-0.088,0.0,1215886000.0,102550000,591432000.0,6.4165713947860485,OCF,Downtrend ↘,Flat ➡,6.4x,7.80181932692083,6.4165713947860485
BG,BG,Bunge Global,USA,Consumer Defensive,113.69000244140625,USD,21842023562.910828,844000000.0,0.883,0.33,844000000.0,1010000000,,25.87917483757207,OCF,Uptrend ↗,Uptrend ↗,25.9x,21.84202356291083,25.87917483757207
BXP,BXP,"BXP, Inc.",USA,Real Estate,68.44999694824219,USD,10928833020.9516,1245157000.0,0.037,-0.232,1245157000.0,296824992,912352000.0,9.038240963281245,OCF,Flat ➡,Downtrend ↘,9.0x,10.928833020951599,9.038240963281245
CHRW,CHRW,C.H. Robinson,USA,Industrials,148.57000732421875,USD,17360592256.904175,914519000.0,0.193,0.238,914519000.0,633326976,32520000.0,18.98330407230924,OCF,Uptrend ↗,Uptrend ↗,19.0x,17.360592256904173,18.98330407230924
CDNS,CDNS,Cadence Design Systems,USA,Technology,324.82000732421875,USD,89453156277.03857,1728781000.0,0.242,1.254,1728781000.0,1377993984,233844000.0,51.74348646649782,OCF,Uptrend ↗,Uptrend ↗,51.7x,89.45315627703857,51.74348646649782
CPT,CPT,Camden Property Trust,USA,Real Estate,110.36000061035156,USD,11095522727.36435,826621000.0,-0.008,-0.757,826621000.0,325515008,611025000.0,11.847355833798346,OCF,Flat ➡,Downtrend ↘,11.8x,11.095522727364349,11.847355833798346
