ticker_yf,ticker_display,name,market,sector,price,currency,market_cap,ocf,revenue_growth,earnings_growth,ttm_ocf,ttm_net_income,ttm_depreciation,pcf,cf_method,revenue_trend,cf_trend,pcf_display,market_cap_b,pcf_color
6594.T,6594.T,Nidec,Japan,Industrials,2557.0,JPY,2931114248095.0,284428000000.0,0.029,1.087,284428000000.0,120102002688,113972000000.0,10.305294303285892,OCF,Flat ➡,Uptrend ↗,10.3x,2931.114248095,10.305294303285892
4901.T,4901.T,Fujifilm,Japan,Industrials,3831.0,JPY,4580359487157.0,410555000000.0,0.068,0.048,410555000000.0,276414988288,172371000000.0,11.156506405127207,OCF,Uptrend ↗,Flat ➡,11.2x,4580.359487157,11.156506405127207
6762.T,6762.T,TDK,Japan,Technology,3012.0,JPY,5717240224500.0,507672000000.0,0.21,1.299,507672000000.0,195663003648,204192000000.0,11.261681212475771,OCF,Uptrend ↗,Uptrend ↗,11.3x,5717.2402245,11.261681212475771
7269.T,7269.T,Suzuki,Japan,Consumer Cyclical,2055.0,JPY,3964657858335.0,717535000000.0,0.152,0.273,717535000000.0,439267000320,277781000000.0,5.5253860206610135,OCF,Uptrend ↗,Uptrend ↗,5.5x,3964.657858335,5.5253860206610135
5108.T,5108.T,Bridgestone,Japan,Consumer Cyclical,3858.0,JPY,4801845359814.0,660442000000.0,0.052,0.302,660442000000.0,333335986176,353229000000.0,7.270654137401921,OCF,Uptrend ↗,Uptrend ↗,7.3x,4801.845359814,7.270654137401921
7011.T,7011.T,MHI,Japan,Industrials,3891.0,JPY,13074574541940.0,530459000000.0,0.113,0.481,530459000000.0,344574001152,160643000000.0,24.647662763644316,OCF,Uptrend ↗,Uptrend ↗,24.6x,13074.57454194,24.647662763644316
4568.T,4568.T,Daiichi Sankyo,Japan,Healthcare,2822.5,JPY,5135971241675.0,77655000000.0,0.137,-0.504,77655000000.0,259873996800,77460000000.0,66.13832002672075,OCF,Uptrend ↗,Downtrend ↘,66.1x,5135.971241675,66.13832002672075
4543.T,4543.T,Terumo,Japan,Healthcare,2249.0,JPY,3317461759209.0,230852000000.0,0.138,0.436,230852000000.0,135913996288,95379000000.0,14.370513399099856,OCF,Uptrend ↗,Uptrend ↗,14.4x,3317.461759209,14.370513399099856
6301.T,6301.T,Komatsu,Japan,Industrials,6901.0,JPY,6152279814352.0,448963000000.0,0.061,-0.156,448963000000.0,376190992384,161830000000.0,13.70331144070224,OCF,Uptrend ↗,Downtrend ↘,13.7x,6152.279814352,13.70331144070224
9020.T,9020.T,JR East,Japan,Industrials,3756.0,JPY,4240781222148.0,765072000000.0,0.109,2.718,765072000000.0,247845994496,428730000000.0,5.54298317301901,OCF,Uptrend ↗,Uptrend ↗,5.5x,4240.781222148,5.54298317301901
